Symbol,Sector
BHARATFORG,NIFTY_AUTO
M&M,NIFTY_AUTO
AMARAJABAT,NIFTY_AUTO
BOSCHLTD,NIFTY_AUTO
BALKRISIND,NIFTY_AUTO
ASHOKLEY,NIFTY_AUTO
EXIDEIND,NIFTY_AUTO
HEROMOTOCO,NIFTY_AUTO
BAJAJ-AUTO,NIFTY_AUTO
MARUTI,NIFTY_AUTO
TATAMOTORS,NIFTY_AUTO
TVSMOTOR,NIFTY_AUTO
MRF,NIFTY_AUTO
EICHERMOT,NIFTY_AUTO
TIINDIA,NIFTY_AUTO
GLENMARK,NIFTY_PHARMA
GRANULES,NIFTY_PHARMA
LAURUSLABS,NIFTY_PHARMA
IPCALAB,NIFTY_PHARMA
CADILAHC,NIFTY_PHARMA
NATCOPHARM,NIFTY_PHARMA
GLAND,NIFTY_PHARMA
APLLTD,NIFTY_PHARMA
SUNPHARMA,NIFTY_PHARMA
PFIZER,NIFTY_PHARMA
CIPLA,NIFTY_PHARMA
DRREDDY,NIFTY_PHARMA
AUROPHARMA,NIFTY_PHARMA
BIOCON,NIFTY_PHARMA
LUPIN,NIFTY_PHARMA
ABBOTINDIA,NIFTY_PHARMA
STAR,NIFTY_PHARMA
TORNTPHARM,NIFTY_PHARMA
ALKEM,NIFTY_PHARMA
DIVISLAB,NIFTY_PHARMA
ASIANPAINT,NIFTY
GRASIM,NIFTY
SBILIFE,NIFTY
SBIN,NIFTY
BPCL,NIFTY
TCS,NIFTY
JSWSTEEL,NIFTY
M&M,NIFTY
BAJAJFINSV,NIFTY
HDFCLIFE,NIFTY
ICICIBANK,NIFTY
IOC,NIFTY
ONGC,NIFTY
ITC,NIFTY
HEROMOTOCO,NIFTY
NTPC,NIFTY
BAJAJ-AUTO,NIFTY
TATASTEEL,NIFTY
SUNPHARMA,NIFTY
RELIANCE,NIFTY
BRITANNIA,NIFTY
ULTRACEMCO,NIFTY
BAJFINANCE,NIFTY
SHREECEM,NIFTY
MARUTI,NIFTY
TATAMOTORS,NIFTY
CIPLA,NIFTY
HDFCBANK,NIFTY
